,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
35,2016-17,BYU,WCC,16,7,27.1,4.3,9.3,0.456,2.8,5.1,0.549,1.4,4.2,3.3,4.2,0.776,0.7,3.1,3.8,2.7,0.9,0.4,1.6,2.4,13.2,/players/elijah-bryant-1.html,0.343
36,2017-18,BYU,WCC,18,18,36.3,5.9,12.3,0.484,3.4,5.8,0.59,2.5,6.4,4.1,4.7,0.869,0.3,6.7,7.0,2.5,1.3,0.6,2.6,2.2,18.4,/players/elijah-bryant-1.html,0.388
37,2011-12,Michigan,Big Ten,18,17,37.6,5.3,12.2,0.436,3.7,7.8,0.471,1.7,4.4,3.4,4.4,0.775,0.7,2.8,3.4,4.3,0.9,0.4,2.6,1.4,15.8,/players/trey-burke-1.html,0.375
38,2012-13,Michigan,Big Ten,18,18,36.6,6.9,15.2,0.454,4.8,9.9,0.48,2.1,5.2,4.3,5.4,0.794,0.6,2.7,3.3,6.4,2.0,0.4,2.0,2.0,20.2,/players/trey-burke-1.html,0.404
39,2010-11,Marquette,Big East,18,16,36.6,5.3,10.7,0.495,4.8,9.1,0.524,0.5,1.6,5.7,7.1,0.805,2.6,3.4,6.1,2.1,1.4,0.4,1.5,1.5,16.8,/players/jimmy-butler-1.html,0.321
40,2015-16,UNC Wilmington,CAA,14,3,6.3,0.7,1.1,0.667,0.7,1.1,0.667,0.0,0.0,0.2,0.7,0.3,0.7,1.7,2.4,0.0,0.3,0.1,0.4,1.5,1.6,/players/devontae-cacok-1.html,
41,2016-17,UNC Wilmington,CAA,18,17,26.8,4.8,6.3,0.763,4.8,6.3,0.763,0.0,0.0,1.8,3.2,0.579,4.0,6.4,10.4,0.2,1.4,1.4,1.3,3.3,11.5,/players/devontae-cacok-1.html,
42,2017-18,UNC Wilmington,CAA,18,16,31.6,6.8,12.4,0.547,6.8,12.4,0.547,0.0,0.0,3.7,6.1,0.6,5.4,9.1,14.5,0.7,1.1,0.7,2.1,3.9,17.2,/players/devontae-cacok-1.html,
43,2018-19,UNC Wilmington,CAA,18,17,30.8,6.6,11.2,0.584,6.5,11.2,0.582,0.1,0.1,2.7,4.6,0.578,4.4,9.2,13.6,0.9,0.9,0.6,2.2,3.3,15.8,/players/devontae-cacok-1.html,1.0
44,2011-12,Georgia,SEC,16,15,33.8,4.8,12.2,0.39,2.6,5.4,0.488,2.1,6.8,1.5,2.1,0.727,1.1,4.0,5.1,1.2,2.0,0.3,1.1,1.9,13.1,/players/kentavious-caldwell-pope-1.html,0.312
45,2012-13,Georgia,SEC,18,17,34.1,5.7,13.1,0.438,3.1,6.4,0.478,2.7,6.7,4.3,5.2,0.839,0.9,5.7,6.6,1.7,1.9,0.6,2.1,2.0,18.4,/players/kentavious-caldwell-pope-1.html,0.4
46,2011-12,Syracuse,Big East,12,0,8.0,1.0,1.5,0.667,0.6,0.9,0.636,0.4,0.6,0.3,0.5,0.667,0.3,0.8,1.1,1.3,0.6,0.1,0.4,0.9,2.8,/players/michael-carter-williams-1.html,0.714
47,2012-13,Syracuse,Big East,18,18,36.8,4.2,10.7,0.391,3.2,7.3,0.435,1.0,3.4,3.4,4.4,0.775,1.5,3.0,4.5,5.7,2.7,0.4,2.9,2.3,12.8,/players/michael-carter-williams-1.html,0.295
48,2012-13,Texas A&M,SEC,18,10,25.8,2.0,5.7,0.353,1.5,3.9,0.386,0.5,1.8,1.2,2.1,0.568,0.8,2.3,3.1,3.4,1.8,0.3,2.6,3.5,5.7,/players/alex-caruso-1.html,0.281
49,2013-14,Texas A&M,SEC,18,17,30.4,2.7,6.2,0.429,2.2,4.6,0.482,0.4,1.6,2.2,3.3,0.661,0.3,3.1,3.4,4.9,1.9,0.6,2.2,3.1,7.9,/players/alex-caruso-1.html,0.276
50,2014-15,Texas A&M,SEC,18,18,33.6,3.4,7.6,0.456,2.3,4.8,0.483,1.1,2.7,2.1,2.9,0.717,0.7,4.5,5.2,5.1,1.8,0.1,3.1,2.2,10.1,/players/alex-caruso-1.html,0.408
51,2015-16,Texas A&M,SEC,18,18,29.2,2.9,5.9,0.495,1.9,3.8,0.507,1.0,2.1,1.5,2.0,0.75,0.9,2.6,3.5,5.2,1.9,0.4,2.1,2.5,8.4,/players/alex-caruso-1.html,0.474
52,2012-13,Kentucky,SEC,14,10,25.1,3.9,6.0,0.643,3.9,6.0,0.643,0.0,0.0,1.2,3.4,0.362,2.3,4.1,6.4,0.9,0.7,2.2,2.0,2.9,8.9,/players/willie-cauley-stein-1.html,
53,2013-14,Kentucky,SEC,18,9,22.3,2.6,4.6,0.573,2.6,4.6,0.573,0.0,0.0,1.1,2.3,0.488,2.2,2.7,4.9,0.5,1.2,1.9,0.9,2.6,6.3,/players/willie-cauley-stein-1.html,
54,2014-15,Kentucky,SEC,18,17,26.3,3.1,5.4,0.571,3.1,5.4,0.571,0.0,0.0,1.8,3.2,0.561,2.1,4.1,6.2,0.9,1.1,1.5,1.7,2.1,8.0,/players/willie-cauley-stein-1.html,
55,2015-16,Washington,Pac-12,18,18,25.9,5.2,9.7,0.531,4.6,7.8,0.586,0.6,1.9,2.2,3.3,0.661,2.7,2.8,5.4,0.8,0.8,1.7,1.9,4.4,13.1,/players/marquese-chriss-1.html,0.314
