,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
84,2004-05,29.0,SEA,NBA,SG,11.0,11.0,39.6,9.3,19.5,0.474,2.8,7.5,6.5,12.1,0.534,0.547,5.1,5.7,0.889,1.1,3.2,4.3,3.9,1.3,0.4,3.1,2.0,26.5,/players/a/allenra02.html,0.378
85,2007-08,32.0,BOS,NBA,SG,26.0,26.0,38.0,5.1,12.0,0.428,2.1,5.3,3.0,6.6,0.453,0.516,3.2,3.5,0.913,1.0,2.8,3.8,2.7,0.9,0.3,1.5,2.4,15.6,/players/a/allenra02.html,0.396
86,2008-09,33.0,BOS,NBA,SG,14.0,14.0,40.4,5.9,14.7,0.403,2.5,7.1,3.4,7.6,0.453,0.488,3.9,4.1,0.948,0.9,3.0,3.9,2.6,1.1,0.4,1.8,2.5,18.3,/players/a/allenra02.html,0.35
87,2009-10,34.0,BOS,NBA,SG,24.0,24.0,38.5,5.5,12.7,0.431,2.3,6.0,3.1,6.6,0.472,0.523,2.9,3.3,0.863,0.5,2.8,3.3,2.6,0.9,0.1,1.5,3.1,16.1,/players/a/allenra02.html,0.386
88,2010-11,35.0,BOS,NBA,SG,9.0,9.0,40.1,6.3,12.1,0.523,3.6,6.2,2.8,5.9,0.472,0.67,2.7,2.8,0.96,0.6,3.2,3.8,2.4,1.2,0.1,1.1,2.3,18.9,/players/a/allenra02.html,0.571
89,2011-12,36.0,BOS,NBA,SG,18.0,10.0,34.2,3.7,9.3,0.395,1.6,5.1,2.1,4.2,0.507,0.479,1.8,2.5,0.711,0.4,3.7,4.1,1.0,0.9,0.1,0.9,2.3,10.7,/players/a/allenra02.html,0.304
90,2012-13,37.0,MIA,NBA,SG,23.0,0.0,24.9,3.2,7.5,0.43,1.7,4.2,1.5,3.3,0.461,0.544,2.0,2.3,0.87,0.6,2.2,2.8,1.3,0.5,0.1,1.2,1.8,10.2,/players/a/allenra02.html,0.406
91,2013-14,38.0,MIA,NBA,SG,20.0,1.0,26.4,3.0,7.2,0.413,1.7,4.3,1.3,2.9,0.448,0.528,1.7,1.9,0.919,0.7,2.7,3.4,1.6,0.7,0.2,1.2,2.1,9.3,/players/a/allenra02.html,0.388
92,2004-05,23.0,BOS,NBA,SG,7.0,3.0,12.9,1.1,2.6,0.444,0.0,0.0,1.1,2.6,0.444,0.444,0.4,1.0,0.429,0.6,1.1,1.7,0.3,0.4,0.3,0.7,2.4,2.7,/players/a/allento01.html,
93,2007-08,26.0,BOS,NBA,SG,15.0,0.0,4.3,0.6,1.1,0.563,0.0,0.1,0.6,1.0,0.6,0.563,0.1,0.3,0.4,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.3,1.3,/players/a/allento01.html,0.0
