SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2011-12,36,BOS,NBA,SG,18,10,616.0,66.0,167.0,0.395,28.0,92.0,38.0,75.0,0.507,0.479,32.0,45.0,0.711,8.0,66.0,74.0,18.0,17.0,2.0,17.0,41.0,192.0,/players/a/allenra02.html,0.304
2012-13,37,MIA,NBA,SG,23,0,573.0,74.0,172.0,0.43,39.0,96.0,35.0,76.0,0.461,0.544,47.0,54.0,0.87,13.0,51.0,64.0,29.0,12.0,3.0,27.0,42.0,234.0,/players/a/allenra02.html,0.406
2013-14,38,MIA,NBA,SG,20,1,527.0,59.0,143.0,0.413,33.0,85.0,26.0,58.0,0.448,0.528,34.0,37.0,0.919,13.0,54.0,67.0,32.0,14.0,4.0,24.0,41.0,185.0,/players/a/allenra02.html,0.388
2004-05,23,BOS,NBA,SG,7,3,90.0,8.0,18.0,0.444,0.0,0.0,8.0,18.0,0.444,0.444,3.0,7.0,0.429,4.0,8.0,12.0,2.0,3.0,2.0,5.0,17.0,19.0,/players/a/allento01.html,0.0
2007-08,26,BOS,NBA,SG,15,0,65.0,9.0,16.0,0.563,0.0,1.0,9.0,15.0,0.6,0.563,2.0,5.0,0.4,1.0,2.0,3.0,3.0,2.0,0.0,1.0,5.0,20.0,/players/a/allento01.html,0.0
2008-09,27,BOS,NBA,SG,10,0,60.0,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,1.0,1.0,1.0,1.0,8.0,9.0,3.0,2.0,0.0,1.0,4.0,9.0,/players/a/allento01.html,0.0
2009-10,28,BOS,NBA,SG,24,0,391.0,47.0,98.0,0.48,0.0,5.0,47.0,93.0,0.505,0.48,28.0,36.0,0.778,13.0,28.0,41.0,17.0,25.0,14.0,23.0,58.0,122.0,/players/a/allento01.html,0.0
2010-11,29,MEM,NBA,SG,13,13,350.0,43.0,101.0,0.426,1.0,7.0,42.0,94.0,0.447,0.431,27.0,41.0,0.659,15.0,23.0,38.0,20.0,25.0,5.0,24.0,43.0,114.0,/players/a/allento01.html,0.143
2011-12,30,MEM,NBA,SG,7,7,170.0,18.0,45.0,0.4,0.0,5.0,18.0,40.0,0.45,0.4,12.0,17.0,0.706,8.0,14.0,22.0,5.0,9.0,7.0,10.0,21.0,48.0,/players/a/allento01.html,0.0
2012-13,31,MEM,NBA,SG,15,15,422.0,54.0,125.0,0.432,2.0,8.0,52.0,117.0,0.444,0.44,44.0,58.0,0.759,37.0,54.0,91.0,27.0,30.0,5.0,19.0,48.0,154.0,/players/a/allento01.html,0.25
2013-14,32,MEM,NBA,SG,7,1,230.0,35.0,72.0,0.486,0.0,7.0,35.0,65.0,0.538,0.486,16.0,21.0,0.762,23.0,31.0,54.0,10.0,12.0,1.0,12.0,23.0,86.0,/players/a/allento01.html,0.0
2014-15,33,MEM,NBA,SG,10,9,279.0,28.0,57.0,0.491,1.0,7.0,27.0,50.0,0.54,0.5,9.0,12.0,0.75,14.0,38.0,52.0,15.0,24.0,11.0,13.0,27.0,66.0,/players/a/allento01.html,0.143
2015-16,34,MEM,NBA,SG,4,2,94.0,10.0,33.0,0.303,1.0,7.0,9.0,26.0,0.346,0.318,9.0,13.0,0.692,6.0,5.0,11.0,3.0,5.0,2.0,6.0,11.0,30.0,/players/a/allento01.html,0.143
1999-00,23,MIL,NBA,PG,4,0,16.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,/players/a/alstora01.html,0.0
2000-01,24,MIL,NBA,PG,5,0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,/players/a/alstora01.html,0.0
2003-04,27,MIA,NBA,PG,13,0,295.0,29.0,91.0,0.319,12.0,52.0,17.0,39.0,0.436,0.385,21.0,25.0,0.84,4.0,25.0,29.0,22.0,5.0,1.0,10.0,22.0,91.0,/players/a/alstora01.html,0.231
