,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
136,/players/b/balkmre01.html,Renaldo Balkman,2007,2012,F,South Carolina,2006.0,20.0,NYK,1984,203.2,94.35
137,/players/b/ballce01.html,Cedric Ball,1991,1991,F,UNC Charlotte,Undrafted,Undrafted,Undrafted,1968,203.2,95.25
138,/players/b/ballla01.html,LaMelo Ball,2021,2022,G,No College,2020.0,3.0,CHO,2001,200.66,81.65
139,/players/b/balllo01.html,Lonzo Ball,2018,2022,G,UCLA,2017.0,2.0,LAL,1997,198.12,86.18
140,/players/b/bambamo01.html,Mo Bamba,2019,2022,C,Texas,2018.0,6.0,ORL,1998,213.36,104.78
141,/players/b/banede01.html,Desmond Bane,2021,2022,G,TCU,2020.0,30.0,BOS,1998,195.57999999999998,97.52
142,/players/b/banksma01.html,Marcus Banks,2004,2011,G,UNLV,2003.0,13.0,MEM,1981,187.96,90.72
143,/players/b/bantoda01.html,Dalano Banton,2022,2022,G-F,Nebraska,2021.0,46.0,TOR,1999,205.74,92.53
144,/players/b/barbeca01.html,Cat Barber,2022,2022,G,NC State,Undrafted,Undrafted,Undrafted,1994,187.96,86.18
145,/players/b/barbole01.html,Leandro Barbosa,2004,2017,G,No College,2003.0,28.0,SAS,1982,190.5,88.0
146,/players/b/bardost01.html,Steve Bardo,1992,1996,G,Illinois,1990.0,41.0,ATL,1968,195.57999999999998,86.18
147,/players/b/bareajo01.html,J.J. Barea,2007,2020,G,Northeastern University,Undrafted,Undrafted,Undrafted,1984,177.8,81.65
148,/players/b/bargnan01.html,Andrea Bargnani,2007,2016,F-C,No College,2006.0,1.0,TOR,1985,213.36,111.13
149,/players/b/barkler01.html,Erick Barkley,2001,2002,G,St. John's,2000.0,28.0,POR,1978,185.42,80.29
150,/players/b/barneha02.html,Harrison Barnes,2013,2022,F,UNC,2012.0,7.0,GSW,1992,203.2,102.06
151,/players/b/barnema02.html,Matt Barnes,2004,2017,F,UCLA,2002.0,46.0,MEM,1980,200.66,102.51
152,/players/b/barnesc01.html,Scottie Barnes,2022,2022,G-F,Florida State,2021.0,4.0,TOR,2001,205.74,102.97
153,/players/b/barrean01.html,Andre Barrett,2005,2008,G,Seton Hall,Undrafted,Undrafted,Undrafted,1982,177.8,78.02
154,/players/b/barrerj01.html,RJ Barrett,2020,2022,G-F,Duke,2019.0,3.0,NYK,2000,198.12,97.07
