,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
430,2007-08,Stanford,Pac-10,33.0,415.0,0.471,0.449,0.488,0.252,16.0,/players/landry-fields-1.html,0.0
431,2008-09,Stanford,Pac-10,34.0,1045.0,0.569,0.548,0.271,0.374,14.3,/players/landry-fields-1.html,33.0
432,2009-10,Stanford,Pac-10,32.0,1161.0,0.56,0.519,0.17,0.508,11.7,/players/landry-fields-1.html,32.0
433,1991-92,Wisconsin,Big Ten,31.0,920.0,0.548,0.498,0.251,0.446,20.0,/players/michael-finley-1.html,28.0
434,1992-93,Wisconsin,Big Ten,28.0,979.0,0.567,0.532,0.362,0.301,12.2,/players/michael-finley-1.html,28.0
435,1993-94,Wisconsin,Big Ten,29.0,1046.0,0.578,0.54,0.408,0.314,12.8,/players/michael-finley-1.html,29.0
436,1994-95,Wisconsin,Big Ten,27.0,1000.0,0.498,0.44,0.434,0.385,12.6,/players/michael-finley-1.html,27.0
437,1992-93,Little Rock,Sun Belt,27.0,749.0,0.534,0.446,0.225,0.667,21.6,/players/derek-fisher-1.html,22.0
438,1993-94,Little Rock,Sun Belt,28.0,888.0,0.552,0.498,0.259,0.439,21.9,/players/derek-fisher-1.html,28.0
439,1994-95,Little Rock,Sun Belt,27.0,938.0,0.512,0.457,0.296,0.471,13.0,/players/derek-fisher-1.html,24.0
440,1995-96,Little Rock,Sun Belt,30.0,1080.0,0.554,0.49,0.417,0.542,17.1,/players/derek-fisher-1.html,30.0
441,1997-98,Iowa State,Big 12,30.0,816.0,0.505,0.474,0.005,0.449,15.3,/players/marcus-fizer-1.html,25.0
442,1998-99,Iowa State,Big 12,30.0,961.0,0.517,0.457,0.066,0.493,11.5,/players/marcus-fizer-1.html,29.0
443,1999-00,Iowa State,Big 12,37.0,1243.0,0.625,0.595,0.075,0.425,10.2,/players/marcus-fizer-1.html,37.0
444,2007-08,Syracuse,Big East,35.0,1243.0,0.567,0.526,0.387,0.341,16.4,/players/jonny-flynn-1.html,35.0
445,2008-09,Syracuse,Big East,38.0,1418.0,0.567,0.507,0.298,0.481,18.1,/players/jonny-flynn-1.html,38.0
446,2012-13,Cleveland State,Horizon,32.0,904.0,0.569,0.53,0.5,0.293,12.9,/players/bryn-forbes-1.html,18.0
447,2013-14,Cleveland State,Horizon,32.0,1102.0,0.596,0.548,0.538,0.372,10.7,/players/bryn-forbes-1.html,32.0
448,2014-15,Michigan State,Big Ten,39.0,1022.0,0.613,0.589,0.667,0.211,10.3,/players/bryn-forbes-1.html,24.0
449,2015-16,Michigan State,Big Ten,35.0,982.0,0.667,0.644,0.679,0.219,7.3,/players/bryn-forbes-1.html,34.0
450,2001-02,Texas,Big 12,33.0,1068.0,0.492,0.421,0.111,0.463,26.5,/players/tj-ford-1.html,33.0
451,2002-03,Texas,Big 12,33.0,1110.0,0.506,0.423,0.171,0.489,17.9,/players/tj-ford-1.html,33.0
452,1987-88,UCLA,Pac-10,11.0,292.0,0.513,0.527,0.0,0.5,20.8,/players/greg-foster-1.html,11.0
453,1988-89,UTEP,WAC,26.0,728.0,0.51,0.481,0.004,0.342,17.0,/players/greg-foster-1.html,24.0
454,1989-90,UTEP,WAC,32.0,837.0,0.512,0.462,0.007,0.313,14.5,/players/greg-foster-1.html,30.0
455,1994-95,California,Pac-10,27.0,699.0,0.523,0.485,0.204,0.535,14.6,/players/tremaine-fowlkes-1.html,9.0
456,1995-96,California,Pac-10,13.0,351.0,0.505,0.447,0.325,0.553,15.3,/players/tremaine-fowlkes-1.html,7.0
457,1997-98,Fresno State,WAC,32.0,906.0,0.536,0.5,0.113,0.561,17.1,/players/tremaine-fowlkes-1.html,0.0
458,1987-88,UNC,ACC,34.0,371.0,0.628,0.644,0.096,0.319,27.5,/players/rick-fox-1.html,3.0
459,1988-89,UNC,ACC,37.0,829.0,0.64,0.606,0.102,0.371,20.9,/players/rick-fox-1.html,17.0
460,1989-90,UNC,ACC,34.0,981.0,0.63,0.612,0.411,0.262,19.8,/players/rick-fox-1.html,30.0
461,1990-91,UNC,ACC,35.0,999.0,0.567,0.526,0.431,0.303,16.4,/players/rick-fox-1.html,32.0
462,2002-03,Villanova,Big East,31.0,830.0,0.463,0.41,0.316,0.273,24.3,/players/randy-foye-1.html,29.0
463,2003-04,Villanova,Big East,35.0,1094.0,0.483,0.437,0.336,0.303,20.4,/players/randy-foye-1.html,34.0
464,2004-05,Villanova,Big East,32.0,1027.0,0.516,0.481,0.357,0.264,12.8,/players/randy-foye-1.html,32.0
465,2005-06,Villanova,Big East,33.0,1145.0,0.536,0.492,0.462,0.313,10.1,/players/randy-foye-1.html,33.0
466,1998-99,Maryland,ACC,34.0,1044.0,0.62,0.58,0.296,0.401,17.9,/players/steve-francis-1.html,33.0
467,2001-02,Arizona,Pac-10,34.0,814.0,0.63,0.595,0.0,0.537,15.4,/players/channing-frye-1.html,25.0
468,2002-03,Arizona,Pac-10,32.0,814.0,0.589,0.569,0.003,0.379,8.3,/players/channing-frye-1.html,27.0
469,2003-04,Arizona,Pac-10,30.0,910.0,0.589,0.553,0.014,0.321,10.8,/players/channing-frye-1.html,30.0
470,2004-05,Arizona,Pac-10,37.0,1148.0,0.605,0.557,0.041,0.373,11.7,/players/channing-frye-1.html,37.0
471,2010-11,St. Joseph's,A-10,33.0,1132.0,0.548,0.496,0.491,0.287,9.4,/players/langston-galloway-1.html,33.0
472,2011-12,St. Joseph's,A-10,34.0,1215.0,0.632,0.609,0.517,0.249,8.9,/players/langston-galloway-1.html,33.0
473,2012-13,St. Joseph's,A-10,32.0,1142.0,0.552,0.525,0.561,0.218,10.5,/players/langston-galloway-1.html,32.0
474,2013-14,St. Joseph's,A-10,34.0,1231.0,0.61,0.57,0.57,0.322,5.4,/players/langston-galloway-1.html,34.0
475,2018-19,Vanderbilt,SEC,5.0,139.0,0.657,0.639,0.426,0.296,19.6,/players/darius-garland-1.html,5.0
476,1988-89,Old Dominion,Sun Belt,27.0,839.0,0.638,0.616,0.0,0.461,14.2,/players/chris-gatling-1.html,0.0
477,1989-90,Old Dominion,Sun Belt,26.0,822.0,0.604,0.58,0.0,0.501,14.7,/players/chris-gatling-1.html,0.0
478,1990-91,Old Dominion,Sun Belt,32.0,1002.0,0.644,0.62,0.002,0.61,14.7,/players/chris-gatling-1.html,30.0
479,2004-05,UConn,Big East,31.0,893.0,0.546,0.51,0.21,0.371,15.4,/players/rudy-gay-1.html,26.0
480,2005-06,UConn,Big East,33.0,1015.0,0.533,0.495,0.217,0.34,14.8,/players/rudy-gay-1.html,33.0
481,1988-89,Seton Hall,Big East,38.0,1240.0,0.666,0.65,0.662,0.338,17.3,/players/andrew-gaze-1.html,37.0
482,2008-09,Fresno State,WAC,34.0,1176.0,0.586,0.559,0.399,0.374,16.0,/players/paul-george-1.html,34.0
483,2009-10,Fresno State,WAC,29.0,962.0,0.572,0.506,0.46,0.364,18.1,/players/paul-george-1.html,29.0
484,2006-07,USC,Pac-10,37.0,1198.0,0.578,0.558,0.0,0.535,21.5,/players/taj-gibson-1.html,37.0
485,2007-08,USC,Pac-10,33.0,1058.0,0.589,0.58,0.0,0.559,21.2,/players/taj-gibson-1.html,32.0
486,2008-09,USC,Pac-10,35.0,1179.0,0.621,0.601,0.0,0.576,15.2,/players/taj-gibson-1.html,35.0
487,2017-18,Kentucky,SEC,37.0,1248.0,0.578,0.516,0.151,0.464,17.9,/players/shai-gilgeous-alexander-1.html,24.0
488,1987-88,Illinois,Big Ten,33.0,946.0,0.547,0.509,0.254,0.327,18.8,/players/kendall-gill-1.html,23.0
489,1988-89,Illinois,Big Ten,24.0,681.0,0.635,0.614,0.314,0.22,12.9,/players/kendall-gill-1.html,18.0
490,1989-90,Illinois,Big Ten,29.0,1000.0,0.575,0.527,0.156,0.415,12.5,/players/kendall-gill-1.html,29.0
491,2001-02,Providence,Big East,24.0,756.0,0.575,0.559,0.013,0.47,11.4,/players/ryan-gomes-1.html,23.0
492,2002-03,Providence,Big East,32.0,1152.0,0.602,0.537,0.008,0.489,13.8,/players/ryan-gomes-1.html,32.0
493,2003-04,Providence,Big East,29.0,1008.0,0.605,0.545,0.23,0.406,14.4,/players/ryan-gomes-1.html,29.0
494,2004-05,Providence,Big East,31.0,1161.0,0.583,0.548,0.275,0.323,11.7,/players/ryan-gomes-1.html,31.0
495,1999-00,Kansas,Big 12,33.0,686.0,0.487,0.459,0.05,0.287,16.5,/players/drew-gooden-1.html,8.0
496,2000-01,Kansas,Big 12,28.0,761.0,0.553,0.522,0.031,0.503,15.3,/players/drew-gooden-1.html,20.0
497,2001-02,Kansas,Big 12,37.0,1119.0,0.554,0.512,0.064,0.36,14.0,/players/drew-gooden-1.html,36.0
498,2001-02,UConn,Big East,34.0,844.0,0.576,0.543,0.476,0.371,17.9,/players/ben-gordon-1.html,2.0
499,2002-03,UConn,Big East,33.0,1101.0,0.576,0.527,0.401,0.372,16.8,/players/ben-gordon-1.html,33.0
500,2003-04,UConn,Big East,39.0,1346.0,0.572,0.528,0.436,0.309,14.6,/players/ben-gordon-1.html,39.0
501,2007-08,Indiana,Big Ten,32.0,1110.0,0.601,0.515,0.489,0.652,17.1,/players/eric-gordon-1.html,32.0
502,2001-02,Bradley,MVC,29.0,712.0,0.525,0.452,0.068,0.498,15.2,/players/danny-granger-1.html,17.0
503,2002-03,Bradley,MVC,14.0,380.0,0.57,0.534,0.105,0.497,11.6,/players/danny-granger-1.html,13.0
